Country of League,League,Date of Collection,Team,Standing
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Brest 2,14.0
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Slavia Mozyr 2,15.0
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,FK Gorodeja 2,16.0
,,,,
Europe,Europe UEFA Nations League,2020-04-24,Poland,1.0
Europe,Europe UEFA Nations League,2020-04-24,Netherlands,2.0
Europe,Europe UEFA Nations League,2020-04-24,Italy,3.0
Europe,Europe UEFA Nations League,2020-04-24,Bosnia & Herzegovina,4.0
Europe,Europe UEFA Nations League,2020-04-24,Belgium,1.0
Europe,Europe UEFA Nations League,2020-04-24,Iceland,2.0
Europe,Europe UEFA Nations League,2020-04-24,Denmark,3.0
Europe,Europe UEFA Nations League,2020-04-24,England,4.0
Europe,Europe UEFA Nations League,2020-04-24,Sweden,1.0
Europe,Europe UEFA Nations League,2020-04-24,France,2.0
Europe,Europe UEFA Nations League,2020-04-24,Portugal,3.0
Europe,Europe UEFA Nations League,2020-04-24,Croatia,4.0
Europe,Europe UEFA Nations League,2020-04-24,Germany,1.0
Europe,Europe UEFA Nations League,2020-04-24,Switzerland,2.0
Europe,Europe UEFA Nations League,2020-04-24,Spain,3.0
Europe,Europe UEFA Nations League,2020-04-24,Ukraine,4.0
Europe,Europe UEFA Nations League,2020-04-24,Latvia,1.0
Europe,Europe UEFA Nations League,2020-04-24,Andorra,2.0
Europe,Europe UEFA Nations League,2020-04-24,Malta,3.0
Europe,Europe UEFA Nations League,2020-04-24,Faroe Islands,4.0
Europe,Europe UEFA Nations League,2020-04-24,San Marino,1.0
Europe,Europe UEFA Nations League,2020-04-24,Liechtenstein,2.0
Europe,Europe UEFA Nations League,2020-04-24,Gibraltar,3.0
,,,,
Nicaragua,Nicaragua Liga Primera,2020-04-24,Ferretti,1.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Diriangen,2.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Esteli,3.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Managua FC,4.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Juventus Managua,5.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Sabanas,6.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Chinandega,7.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Ocotal,8.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Real Madriz,9.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Jalapa,10.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Managua FC,1.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Esteli,2.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Diriangen,3.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Ferretti,4.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Jalapa,5.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Juventus Managua,6.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Chinandega,7.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Real Madriz,8.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Ocotal,9.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Sabanas,10.0
,,,,
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Managua FC U20,1.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Esteli U20,2.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Juventus Managua U20,3.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Ferretti U20,4.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Jalapa U20,5.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Real Madriz U20,6.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Ocotal U20,7.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Diriangen U20,8.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Chinandega U20,9.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Sabanas U20,10.0
,,,,
Taiwan,Taiwan Premier League,2020-04-24,Taipower,1.0
Taiwan,Taiwan Premier League,2020-04-24,Hang Yuen,2.0
Taiwan,Taiwan Premier League,2020-04-24,Taichung,3.0
Taiwan,Taiwan Premier League,2020-04-24,Taipei Tatung,4.0
Taiwan,Taiwan Premier League,2020-04-24,Taiwan Steel,5.0
Taiwan,Taiwan Premier League,2020-04-24,NTUS,6.0
Taiwan,Taiwan Premier League,2020-04-24,Ming Chuan University,7.0
Taiwan,Taiwan Premier League,2020-04-24,Red Lions,8.0
,,,,
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Taichung Blue W,1.0
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Taipei Bear W,2.0
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Hualien W,3.0
Taiwan,Taiwan Mulan Football League Women,2020-04-24,New Taipei W,4.0
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Taoyuan W,5.0
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Kaohsiung W,6.0
,,,,
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Istiqlol Dushanbe,1.0
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Khatlon,2.0
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Faizkand,3.0
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Kuktosh,4.0
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Regar-TadAZ,5.0
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Khujand,6.0
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Lokomotiv Pamir,7.0
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,CSKA Pomir Dushanbe,8.0
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Dushanbe 83,9.0
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Istaravshan,10.0
,,,,
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Ahal,1.0
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Kopetdag Asgabat,2.0
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,FC Asgabat,3.0
