Nation of League,League,Date of Game,Date of Data Collection,Time of Scrape,Home Team,Away Team,Home Team Average Odds,Away Team Average Odds,Draw Odds
Europe,UEFA Nations League,2020-09-05,2020-04-24,15:35,Gibraltar,San Marino,1.32,8.5,5.55
Europe,UEFA Nations League,2020-09-05,2020-04-24,15:35,Iceland,England,5.2,1.72,3.68
Europe,UEFA Nations League,2020-09-05,2020-04-24,15:35,Azerbaijan,Luxembourg,1.82,4.96,3.38
Europe,UEFA Nations League,2020-09-05,2020-04-24,15:35,Cyprus,Montenegro,3.07,2.47,3.15
Europe,UEFA Nations League,2020-09-05,2020-04-24,15:35,Estonia,Georgia,4.54,1.86,3.48
Europe,UEFA Nations League,2020-09-05,2020-04-24,15:35,Denmark,Belgium,3.6,2.04,3.6
Europe,UEFA Nations League,2020-09-05,2020-04-24,15:35,Portugal,Croatia,1.91,4.3,3.44
Europe,UEFA Nations League,2020-09-05,2020-04-24,15:35,Sweden,France,5.05,1.74,3.64
,,,,,,,,,
Nicaragua,Liga Primera,2020-04-26,2020-04-24,15:35,Diriangen,Esteli,2.4,2.93,2.9
Nicaragua,Liga Primera,2020-04-27,2020-04-24,15:35,Ferretti,Managua FC,2.73,2.49,3.01
,,,,,,,,,
Nicaragua,Liga Primera U20,2020-04-25,2020-04-24,15:35,Real Madriz U20,Managua FC U20,4.67,1.58,3.8
,,,,,,,,,
Taiwan,Premier League,2020-04-26,2020-04-24,15:35,Hang Yuen,NTUS,1.46,5.2,4.46
Taiwan,Premier League,2020-04-26,2020-04-24,15:35,Ming Chuan University,Taipower,13.49,1.1,8.28
Taiwan,Premier League,2020-04-26,2020-04-24,15:35,Taichung,Taipei Tatung,2.82,2.1,3.74
Taiwan,Premier League,2020-04-26,2020-04-24,15:35,Taiwan Steel,Red Lions,1.06,15.55,10.94
,,,,,,,,,
Taiwan,Mulan Football League Women,2020-04-25,2020-04-24,15:36,Kaohsiung W,Taoyuan W,3.59,1.66,4.4
Taiwan,Mulan Football League Women,2020-04-25,2020-04-24,15:36,Hualien W,New Taipei W,1.11,13.64,7.7
Taiwan,Mulan Football League Women,2020-04-25,2020-04-24,15:36,Taichung Blue W,Taipei Bear W,1.12,11.6,7.8
,,,,,,,,,
Tajikistan,Vysshaya Liga,2020-04-25,2020-04-24,15:36,Faizkand,Istaravshan,1.77,3.69,3.88
Tajikistan,Vysshaya Liga,2020-04-25,2020-04-24,15:36,Istiqlol Dushanbe,Kuktosh,1.15,11.52,6.86
Tajikistan,Vysshaya Liga,2020-04-26,2020-04-24,15:36,Dushanbe 83,CSKA Pomir Dushanbe,3.23,1.88,3.91
Tajikistan,Vysshaya Liga,2020-04-26,2020-04-24,15:36,Khujand,Regar-TadAZ,1.59,4.53,3.97
Tajikistan,Vysshaya Liga,2020-04-26,2020-04-24,15:36,Lokomotiv Pamir,Khatlon,3.39,1.87,3.78
,,,,,,,,,
Turkmenistan,Yokary Liga 2020,2020-04-25,2020-04-24,15:36,Kopetdag Asgabat,Ahal,2.83,2.19,3.31
Turkmenistan,Yokary Liga 2020,2020-04-25,2020-04-24,15:36,Energetik,Altyn Asyr,6.43,1.42,4.11
Turkmenistan,Yokary Liga 2020,2020-04-26,2020-04-24,15:36,FC Asgabat,Nebitci,1.79,3.95,3.32
Turkmenistan,Yokary Liga 2020,2020-04-26,2020-04-24,15:36,Sagadam,Merw,1.42,6.28,4.02
,,,,,,,,,
Turkmenistan,Youth League,2020-04-24,2020-04-24,15:36,Energetik U21,Altyn Asyr U21,5.15,1.5,4.13
Turkmenistan,Youth League,2020-04-24,2020-04-24,15:36,Kopetdag Asgabat U21,Ahal U21,1.84,2.99,3.98
Turkmenistan,Youth League,2020-04-25,2020-04-24,15:36,Sagadam U21,Merw U21,1.81,3.58,3.64
Turkmenistan,Youth League,2020-04-25,2020-04-24,15:36,FC Asgabat U21,Nebitci U21,4.56,1.54,4.03
,,,,,,,,,
